Title,Year,Genres,Language,Country,Content_Rating,Duration,Aspect_Ratio,Budget,Gross_Earnings,Director,Actor1,Actor2,Actor3,Reviews_by_Users,Reviews_by_Critics,IMDB_Score
Hanging Up,2000,Comedy Drama,English,Germany,PG-13,94,1.85,60000000,36037909,Diane Keaton,Adam Arkin,Celia Weston,Jesse James,130,82,4.7
Here on Earth,2000,Drama Romance,English,USA,PG-13,96,1.85,15000000,10494147,Mark Piznarski,Bruce Greenwood,Chris Klein,Elaine Hendrix,162,44,5.1
High Fidelity,2000,Comedy Drama Music Romance,English,UK,R,113,1.85,20000000,27277055,Stephen Frears,Drake Bell,Lili Taylor,Lisa Bonet,602,174,7.6
Highlander: Endgame,2000,Action Adventure Fantasy Sci-Fi,English,USA,R,101,2.35,15000000,12801190,Douglas Aarniokoski,Christopher Lambert,Adrian Paul,Adam Copeland,355,90,4.6
Hollow Man,2000,Action Horror Sci-Fi Thriller,English,USA,R,119,1.85,95000000,73209340,Paul Verhoeven,Greg Grunberg,Kim Dickens,Joey Slotnick,628,180,5.7
How the Grinch Stole Christmas,2000,Comedy Family Fantasy,English,USA,PG,110,1.85,123000000,260031035,Ron Howard,Clint Howard,T.J. Thyne,Molly Shannon,482,175,6
I Dreamed of Africa,2000,Adventure Drama Romance,English,USA,PG-13,114,2.35,34000000,6543194,Hugh Hudson,Liam Aiken,Eva Marie Saint,Vincent Perez,61,52,5.6
Isn't She Great,2000,Biography Comedy Romance,English,USA,R,95,1.85,36000000,2954405,Andrew Bergman,Stockard Channing,Nathan Lane,John Larroquette,64,63,5.3
Keeping the Faith,2000,Comedy Drama Romance,English,USA,PG-13,128,1.85,30000000,37036404,Edward Norton,Lisa Edelstein,Milos Forman,Anne Bancroft,259,148,6.4
Lisa Picard Is Famous,2000,Comedy Drama,English,USA,PG-13,90,NA,1000000,112521,Griffin Dunne,Mira Sorvino,Fisher Stevens,Melissa Gilbert,16,13,5.7
Little Nicky,2000,Comedy Fantasy,English,USA,PG-13,90,1.85,80000000,39442871,Steven Brill,Adam Sandler,Jon Lovitz,Michael McKean,237,87,5.3
Loser,2000,Comedy Romance,English,USA,PG-13,98,1.85,20000000,15464026,Amy Heckerling,Andy Dick,Robert Miano,Zak Orth,158,81,5.3
Lost Souls,2000,Drama Horror Thriller,English,USA,R,97,2.35,28000000,16779636,Janusz Kaminski,Philip Baker Hall,Bob Clendenin,Ben Chaplin,167,100,4.8
Love & Basketball,2000,Drama Romance Sport,English,USA,PG-13,124,1.85,15000000,27441122,Gina Prince-Bythewood,Alfre Woodard,Sanaa Lathan,Omar Epps,116,68,7.2
Lucky Numbers,2000,Comedy Crime,English,France,R,105,1.85,65000000,10014234,Nora Ephron,Michael Rapaport,Michael Moore,Richard Schiff,69,60,5
Luminarias,2000,Comedy Romance,English,USA,R,100,NA,1000000,428535,JosÃ© Luis Valenzuela,Cheech Marin,Lupe Ontiveros,Robert Beltran,32,13,3.6
"Me, Myself & Irene",2000,Comedy,English,USA,R,116,1.85,51000000,90567722,Bobby Farrelly,Robert Forster,Tony Cox,Rob Moran,481,155,6.5
Meet the Parents,2000,Comedy,English,USA,PG-13,108,1.85,55000000,166225040,Jay Roach,Robert De Niro,Blythe Danner,Teri Polo,507,150,7
Memento,2000,Mystery Thriller,English,USA,R,113,2.35,9000000,25530884,Christopher Nolan,Callum Rennie,Thomas Lennon,Jorja Fox,2067,274,8.5
Men of Honor,2000,Biography Drama,English,USA,R,129,2.35,32000000,48814909,George Tillman Jr.,Robert De Niro,Charlize Theron,Michael Rapaport,224,98,7.2
Mercy Streets,2000,Action Crime Drama,English,USA,PG-13,106,1.85,600000,171988,Jon Gunn,Stacy Keach,David A.R. White,Cynthia Watros,16,15,5.6
Michael Jordan to the Max,2000,Documentary Sport,English,USA,NA,46,1.44,7000000,18642318,Don Kempf,Bill Murray,Michael Jordan,Bob Costas,13,14,7.5
Miss Congeniality,2000,Action Comedy Crime Romance,English,USA,PG-13,109,1.85,45000000,106807667,Donald Petrie,Candice Bergen,Wendy Raquel Robinson,Heather Burns,370,140,6.2
Mission to Mars,2000,Adventure Sci-Fi Thriller,English,USA,PG,114,2.35,90000000,60874615,Brian De Palma,Don Cheadle,Connie Nielsen,Kim Delaney,949,181,5.6
Mission: Impossible II,2000,Action Adventure Thriller,English,USA,PG-13,123,2.35,125000000,215397307,John Woo,Tom Cruise,Dougray Scott,Richard Roxburgh,1426,237,6.1
My Dog Skip,2000,Drama Family Sport,English,USA,PG,95,1.37,5000000,34099640,Jay Russell,Clint Howard,Frankie Muniz,Cody Linley,149,79,7
Next Friday,2000,Comedy,English,USA,R,98,1.85,9500000,57176582,Steve Carr,John Witherspoon,Mike Epps,Rolando Molina,84,55,6.1
Nine Queens,2000,Crime Drama Thriller,Spanish,Argentina,R,114,1.85,1500000,1221261,FabiÃ¡n Bielinsky,Ricardo DarÃ­n,GastÃ³n Pauls,Leticia BrÃ©dice,125,94,7.9
Nurse Betty,2000,Comedy Crime Drama,English,Germany,R,110,2.35,24000000,25167270,Neil LaBute,Morgan Freeman,Pruitt Taylor Vince,Kathleen Wilhoite,263,156,6.3
Nutty Professor II: The Klumps,2000,Comedy Romance Sci-Fi,English,USA,PG-13,109,1.85,65000000,123307945,Peter Segal,Larry Miller,Janet Jackson,Chris Elliott,171,94,4.3
"O Brother, Where Art Thou?",2000,Adventure Comedy Crime Music,English,UK,PG-13,107,2.35,26000000,45506619,Joel Coen,Holly Hunter,Tim Blake Nelson,Daniel von Bargen,862,197,7.8
Pandaemonium,2000,Biography Drama,English,UK,PG-13,124,NA,15000000,17113,Julien Temple,Samantha Morton,Dexter Fletcher,Linus Roache,32,22,6.6
Pay It Forward,2000,Drama,English,USA,PG-13,123,1.85,40000000,33508922,Mimi Leder,Kevin Spacey,Haley Joel Osment,Angie Dickinson,660,157,7.2
Pitch Black,2000,Horror Sci-Fi,English,USA,R,112,2.35,23000000,39235088,David Twohy,Vin Diesel,Radha Mitchell,Cole Hauser,805,214,7.1
Pollock,2000,Biography Drama,English,USA,R,122,1.85,6000000,8596914,Ed Harris,John Heard,Bud Cort,Amy Madigan,148,115,7
Proof of Life,2000,Action Drama Thriller,English,USA,R,135,2.35,65000000,32598931,Taylor Hackford,Pamela Reed,Alun Armstrong,Michael Kitchen,265,134,6.2
Psycho Beach Party,2000,Comedy Horror Mystery,English,Australia,Unrated,85,1.85,1500000,265107,Robert Lee King,Lauren Ambrose,Kathleen Robertson,Beth Broderick,93,51,6.3
Quills,2000,Biography Drama,English,UK,R,124,1.85,13500000,7060876,Philip Kaufman,Kate Winslet,Stephen Marcus,Amelia Warner,314,132,7.4
Ready to Rumble,2000,Comedy Sport,English,USA,PG-13,107,1.85,24000000,12372410,Brian Robbins,Oliver Platt,Ellen Albertini Dow,Martin Landau,101,51,5.3
Red Planet,2000,Action Sci-Fi Thriller,English,USA,PG-13,106,2.35,70000000,17473245,Antony Hoffman,Bob Neill,Val Kilmer,Tom Sizemore,348,145,5.7
Reindeer Games,2000,Action Adventure Crime Drama Family Fantasy Romance Thriller,English,USA,R,124,2.35,34000000,23360779,John Frankenheimer,Charlize Theron,James Frain,Clarence Williams III,212,126,5.7
Remember the Titans,2000,Biography Drama Sport,English,USA,PG,120,2.35,30000000,115648585,Boaz Yakin,Ryan Gosling,Denzel Washington,Ethan Suplee,402,157,7.8
Requiem for a Dream,2000,Drama,English,USA,R,102,1.37,4500000,3609278,Darren Aronofsky,Ellen Burstyn,Mark Margolis,Louise Lasser,1916,234,8.4
Return to Me,2000,Comedy Drama Romance,English,USA,PG,115,1.85,24000000,32662299,Bonnie Hunt,Minnie Driver,Jim Belushi,Bonnie Hunt,275,106,6.9
Road Trip,2000,Comedy,English,USA,R,94,1.85,15600000,68525609,Todd Phillips,Ethan Suplee,Rachel Blanchard,Paulo Costanzo,302,103,6.5
Romeo Must Die,2000,Action Crime Thriller,English,USA,R,115,2.35,25000000,55973336,Andrzej Bartkowiak,Jet Li,Delroy Lindo,Aaliyah,365,70,6.1
Rugrats in Paris: The Movie,2000,Adventure Animation Comedy Family Romance,English,Germany,G,78,1.85,30000000,76501438,Stig Bergqvist,Elizabeth Daily,Casey Kasem,Debbie Reynolds,49,41,6.1
Scream 3,2000,Horror Mystery,English,USA,R,116,2.35,40000000,89138076,Wes Craven,Kelly Rutherford,Roger Jackson,Nancy O'Dell,734,212,5.5
Screwed,2000,Comedy Crime,English,USA,PG-13,81,1.85,10000000,6982680,Scott Alexander,Sarah Silverman,Dave Chappelle,Sherman Hemsley,69,29,5.7
Sexy Beast,2000,Crime Thriller,English,UK,R,89,2.35,4300000,6940281,Jonathan Glazer,Ray Winstone,James Fox,Amanda Redman,346,149,7.3
Shadow of the Vampire,2000,Drama Horror,English,UK,R,92,2.35,8000000,8279017,E. Elias Merhige,Eddie Izzard,Udo Kier,Catherine McCormack,339,196,6.9
Shaft,2000,Action Crime Thriller,English,Germany,R,99,2.35,46000000,70327868,John Singleton,Christian Bale,Vanessa Williams,Daniel von Bargen,301,160,5.9
Shanghai Noon,2000,Action Adventure Comedy Western,English,USA,PG-13,110,2.35,55000000,56932305,Tom Dey,Xander Berkeley,Jason Connery,Kate Luyben,293,146,6.6
Small Time Crooks,2000,Comedy Crime,English,USA,PG,94,1.85,18000000,17071230,Woody Allen,Woody Allen,Jon Lovitz,Michael Rapaport,192,128,6.7
Snatch,2000,Comedy Crime,English,UK,R,104,1.85,6000000,30093107,Guy Ritchie,Jason Statham,Brad Pitt,Jason Flemyng,726,151,8.3
Snow Day,2000,Adventure Comedy Family,English,USA,PG,89,1.85,13000000,60008303,Chris Koch,Chris Elliott,Mark Webber,Jean Smart,91,42,4.9
Songcatcher,2000,Drama Music,English,USA,PG-13,109,1.85,1800000,3050934,Maggie Greenwald,Aidan Quinn,David Patrick Kelly,Jane Adams,78,39,7.3
Space Cowboys,2000,Action Adventure Thriller,English,USA,PG-13,130,2.35,65000000,90454043,Clint Eastwood,Clint Eastwood,Courtney B. Vance,William Devane,326,169,6.4
Supernova,2000,Horror Sci-Fi Thriller,English,USA,PG-13,91,2.35,65000000,14218868,Walter Hill,Robert Forster,Wilson Cruz,Vanessa Marshall,282,100,4.8
Tadpole,2000,Comedy Drama Romance,English,USA,PG-13,78,1.85,150000,2882062,Gary Winick,Bebe Neuwirth,Aaron Stanford,Ron Rifkin,101,91,6.3
The 6th Day,2000,Action Mystery Sci-Fi Thriller,English,USA,PG-13,123,2.35,82000000,34543701,Roger Spottiswoode,Robert Duvall,Michael Rapaport,Tony Goldwyn,289,170,5.9
The Adventures of Rocky & Bullwinkle,2000,Adventure Animation Comedy Family Fantasy,English,USA,PG,92,1.85,76000000,26000610,Des McAnuff,Robert De Niro,Janeane Garofalo,Jonathan Winters,197,49,4.1
The Art of War,2000,Action Adventure Crime Thriller,English,USA,R,116,2.35,40000000,30199105,Christian Duguay,Michael Biehn,Cary-Hiroyuki Tagawa,Anne Archer,167,110,5.7
The Beach,2000,Adventure Drama Thriller,English,USA,R,119,2.35,50000000,39778599,Danny Boyle,Leonardo DiCaprio,Virginie Ledoyen,Peter Youngblood Hills,548,118,6.6
The Broken Hearts Club: A Romantic Comedy,2000,Comedy Drama Romance Sport,English,USA,R,94,2.35,1000000,1744858,Greg Berlanti,Justin Theroux,Nia Long,Mary McCormack,120,51,7
The Cell,2000,Horror Sci-Fi Thriller,English,USA,R,109,2.35,33000000,61280963,Tarsem Singh,Dylan Baker,Jake Weber,James Gammon,677,225,6.3
The Claim,2000,Drama Romance Western,English,UK,R,115,2.35,20000000,403932,Michael Winterbottom,Milla Jovovich,Sarah Polley,Shirley Henderson,92,71,6.5
The Contender,2000,Drama Thriller,English,USA,R,126,1.85,20000000,17804273,Rod Lurie,Jeff Bridges,Gary Oldman,William Petersen,370,136,7
The Crew,2000,Comedy Crime,English,USA,PG-13,88,1.85,23000000,13019253,Michael Dinner,Seymour Cassel,Dan Hedaya,Lainie Kazan,47,53,5.6
The Emperor's New Groove,2000,Adventure Animation Comedy Family Fantasy,English,USA,G,78,1.66,100000000,89296573,Mark Dindal,Eartha Kitt,Wendie Malick,John Fiedler,297,141,7.3
The Family Man,2000,Comedy Drama Fantasy Romance,English,USA,PG-13,125,2.35,60000000,75764085,Brett Ratner,Nicolas Cage,Don Cheadle,Amber Valletta,322,121,6.7
The Flintstones in Viva Rock Vegas,2000,Comedy Family Romance Sci-Fi,English,USA,PG,90,1.85,60000000,35231365,Brian Levant,Taylor Negron,Mark Addy,Danny Woodburn,85,57,3.6
The House of Mirth,2000,Drama Romance,English,UK,PG,135,2.35,10000000,3041803,Terence Davies,Eric Stoltz,Anthony LaPaglia,Elizabeth McGovern,181,96,7.1
The In Crowd,2000,Drama Mystery Thriller,English,USA,PG-13,105,1.85,15000000,5217498,Mary Lambert,Matthew Settle,Susan Ward,A.J. Buckley,85,49,4.6
The Kid,2000,Comedy Family Fantasy,English,USA,PG,104,1.85,60000000,69688384,Jon Turteltaub,Bruce Willis,Lily Tomlin,Daniel von Bargen,139,86,6.1
The Ladies Man,2000,Comedy,English,USA,R,84,1.85,11000000,13592872,Reginald Hudlin,Will Ferrell,John Witherspoon,Tim Meadows,79,58,5.1
The Legend of Bagger Vance,2000,Drama Fantasy Sport,English,USA,PG-13,126,1.85,60000000,30695227,Robert Redford,Matt Damon,Will Smith,Charlize Theron,267,125,6.7
The Little Vampire,2000,Adventure Comedy Family Fantasy,English,Germany,PG,95,1.85,22000000,13555988,Uli Edel,Richard E. Grant,Jim Carter,Alice Krige,38,38,5.7
The Next Best Thing,2000,Comedy Drama Romance,English,USA,PG-13,99,1.85,25000000,14983572,John Schlesinger,Mark Valley,Rupert Everett,Illeana Douglas,162,86,4.7
The Original Kings of Comedy,2000,Comedy Documentary,English,USA,R,115,1.85,3000000,38168022,Spike Lee,Bernie Mac,Cedric the Entertainer,Steve Harvey,83,53,6.6
The Patriot,2000,Action Drama History War,English,USA,R,142,2.35,110000000,113330342,Roland Emmerich,Heath Ledger,Adam Baldwin,Tom Wilkinson,1144,192,7.1
The Perfect Storm,2000,Action Adventure Drama Thriller,English,USA,PG-13,130,2.35,140000000,182618434,Wolfgang Petersen,Karen Allen,Mary Elizabeth Mastrantonio,Bob Gunton,779,231,6.4
The Replacements,2000,Comedy Sport,English,USA,PG-13,118,1.85,50000000,44737059,Howard Deutch,Keanu Reeves,Jon Favreau,Faizon Love,261,118,6.5
The Road to El Dorado,2000,Adventure Animation Comedy Family Romance,English,USA,PG,89,1.85,95000000,50802661,Bibo Bergeron,Frank Welker,Rosie Perez,Elton John,139,82,6.9
The Skulls,2000,Action Crime Drama Thriller,English,USA,PG-13,106,1.85,15000000,35007180,Rob Cohen,Paul Walker,Leslie Bibb,William Petersen,193,102,5.6
The Specials,2000,Action Comedy Fantasy Sci-Fi,English,USA,R,82,1.85,1000000,12996,Craig Mazin,Judy Greer,James Gunn,Jamie Kennedy,54,29,6
The Tigger Movie,2000,Animation Comedy Drama Family Musical,English,USA,G,77,1.78,30000000,45542421,Jun Falkenstein,Kath Soucie,John Fiedler,Ken Sansom,53,89,6.3
The Watcher,2000,Crime Horror Mystery Thriller,English,USA,R,97,1.85,33000000,28927720,Joe Charbanic,Keanu Reeves,Joseph Sikora,Chris Ellis,181,103,5.3
The Way of the Gun,2000,Action Crime Drama Thriller,English,USA,R,119,1.85,8500000,6047856,Christopher McQuarrie,Kristin Lehman,Nicky Katt,Dylan Kussman,327,117,6.7
The Whole Nine Yards,2000,Comedy Crime,English,USA,R,98,1.85,24000000,57262492,Jonathan Lynn,Bruce Willis,Matthew Perry,Natasha Henstridge,318,129,6.7
The Widow of Saint-Pierre,2000,Drama Romance,French,France,R,112,2.35,100000000,3058380,Patrice Leconte,Emir Kusturica,Daniel Auteuil,Yves Jacques,69,61,7.3
The Yards,2000,Crime Drama Romance Thriller,English,USA,R,115,2.35,24000000,882710,James Gray,Charlize Theron,Ellen Burstyn,Faye Dunaway,138,93,6.4
The Young Unknowns,2000,Drama,English,USA,R,87,NA,NA,58163,Catherine Jelski,Leslie Bibb,Eion Bailey,Arly Jover,3,13,4.2
Thirteen Days,2000,Drama History Thriller,English,USA,PG-13,145,1.85,80000000,34566746,Roger Donaldson,Bruce Greenwood,Jon Foster,Bruce Thomas,315,162,7.3
Thomas and the Magic Railroad,2000,Adventure Comedy Drama Family Fantasy,English,UK,G,85,1.85,19000000,15911333,Britt Allcroft,Mara Wilson,Colm Feore,Peter Fonda,119,47,3.6
Titan A.E.,2000,Action Adventure Animation Family Sci-Fi,English,USA,PG,94,2.35,75000000,22751979,Don Bluth,Matt Damon,Janeane Garofalo,Nathan Lane,377,131,6.6
Traffic,2000,Crime Drama Thriller,English,USA,R,190,1.85,48000000,124107476,Steven Soderbergh,Michael O'Neill,Jacob Vargas,James Lew,867,223,7.6
U-571,2000,Action War,English,France,PG-13,116,2.35,62000000,77086030,Jonathan Mostow,Matthew McConaughey,Thomas Kretschmann,David Keith,602,178,6.6
Unbreakable,2000,Drama Mystery Sci-Fi Thriller,English,USA,PG-13,106,2.35,75000000,94999143,M. Night Shyamalan,Robin Wright,Bruce Willis,Michael Kelly,1344,294,7.2
Urban Legends: Final Cut,2000,Horror Mystery Thriller,English,USA,R,97,2.35,14000000,21468807,John Ottman,Loretta Devine,Joey Lawrence,Jacinda Barrett,227,108,4.1
Urbania,2000,Drama,English,USA,R,106,1.85,225000,1027119,Jon Shear,Dan Futterman,Josh Hamilton,Matt Keeslar,73,38,7
Vertical Limit,2000,Action Adventure Drama Thriller,English,USA,PG-13,124,1.85,75000000,68473360,Martin Campbell,Nicholas Lea,Scott Glenn,Ben Mendelsohn,379,134,5.9
What Lies Beneath,2000,Drama Fantasy Horror Mystery Thriller,English,USA,PG-13,130,2.35,100000000,155370362,Robert Zemeckis,Harrison Ford,Amber Valletta,Miranda Otto,683,185,6.6
What Planet Are You From?,2000,Comedy Sci-Fi,English,USA,R,87,1.85,50000000,6291602,Mike Nichols,Judy Greer,Linda Fiorentino,Garry Shandling,91,82,5.6
What Women Want,2000,Comedy Fantasy Romance,English,USA,PG-13,127,1.37,70000000,182805123,Nancy Meyers,Judy Greer,Lisa Edelstein,Loretta Devine,395,149,6.4
Whatever It Takes,2000,Comedy Drama Romance,English,USA,PG-13,94,1.85,15000000,8735529,David Raynr,James Franco,Jodi Lyn O'Keefe,Marla Sokoloff,89,50,5.5
Where the Heart Is,2000,Comedy Drama Romance,English,USA,PG-13,120,1.85,15000000,33771174,Matt Williams,Natalie Portman,James Frain,Stockard Channing,240,78,6.8
